model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide,depth,lambda,H_diff
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,non_product,1.0,-2.0,0.0,0.9999960011728672,0.9952034328528024,3.312938213261431e-05,1.6891833627408204e-06,1.4593064165957514e-06,0.9999983108166371,0.9999985406935834,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,non_product,1.0,-2.0,0.0,0.9999959349137516,0.9909405135668372,4.0055720747530006e-05,2.2220442837950216e-06,1.3365219939664996e-06,0.9999977779557162,0.999998663478006,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,non_product,1.0,0.0,0.0,0.9999988238923844,0.9883425830840574,2.184225553275785e-06,7.800300748650457e-07,3.92105535262921e-07,0.9999992199699252,0.9999996078944648,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,non_product,1.0,0.0,0.0,0.9999989817052534,0.9983134333267838,6.725378081978003e-06,3.970380220152947e-07,3.889106636734141e-07,0.999999602961978,0.9999996110893364,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,non_product,1.0,2.0,0.0,0.9999939032457936,0.9973984596756686,7.820515946485147e-05,5.312048205197151e-06,1.7267707801416066e-06,0.9999946879517948,0.99999827322922,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,non_product,1.0,2.0,0.0,0.999988211495664,0.9945658415361076,6.445070439561875e-05,3.818843580027931e-06,4.116362928074935e-06,0.99999618115642,0.999995883637072,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,product,1.0,-2.0,0.0,0.9663255592817938,0.890460559899926,0.4963201002543837,1.5766856835686127e-06,0.0078875136298671,0.9999984233143164,0.9921124863701328,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,product,1.0,-2.0,0.0,0.9706755326789944,0.9130376237747092,0.3218367177227768,6.606011715559745e-05,0.0071103173895653,0.9999339398828444,0.9928896826104346,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,product,1.0,0.0,0.0,0.9790475137028658,0.9266457850645704,0.3441778378689048,1.146523840167557e-05,0.0063147688549813,0.9999885347615984,0.9936852311450186,,,
XXZ_inhomo,10.0,1.0,1.0,0.08,fidelity,product,1.0,0.0,0.0,0.977614680068231,0.9248851712918416,0.361571839343348,7.03398146447709e-05,0.0066653669072592,0.9999296601853552,0.9933346330927408,,,
