length,dot_size,alpha,time_interval,evol_num,sample_num,train_set_type,loss,gate_fidelity,spectrum_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,3.0,0.75,0.12,8.0,1.0,product,multi_mags,0.9077200569683654,0.0375038947518006,0.0111616921685401,0.0983303286053308,0.9985390313933364,0.9821002738794434
10,3.0,0.75,0.12,9.0,1.0,product,multi_mags,0.8860993605683136,0.0474322128934066,0.0121160318705366,0.2012737463370493,0.99867342763588,0.9408111809424085
10,3.0,0.75,0.12,10.0,1.0,product,multi_mags,0.9341299251413044,0.0409618022398302,0.0080910538163077,0.1220353117941815,0.999540218737336,0.9669270631518422
10,3.0,0.75,0.12,20.0,1.0,product,multi_mags,0.9633188135073472,0.016222148577082,0.0077511525571989,0.0777860172878706,0.9996241571686456,0.987128995906884
10,3.0,0.75,0.12,30.0,1.0,product,multi_mags,0.967578595661264,0.0143724878318325,0.0077125037346965,0.0816492522567522,0.9994264358773624,0.9880968050405472
10,3.0,0.75,0.12,40.0,1.0,product,multi_mags,0.9608363282456582,0.0258589066808169,0.0078315364164685,0.0790193896684095,0.9996434551014336,0.9843960941225002
10,3.0,0.75,0.12,50.0,1.0,product,multi_mags,0.957576925636534,0.0183202794938747,0.0076411234597695,0.0868516302083449,0.9996960090802628,0.9797396231461342
10,3.0,0.75,0.12,60.0,1.0,product,multi_mags,0.9541232968157858,0.0192625369602211,0.0081263764657046,0.0997333890831726,0.9996701455882606,0.9761061829665486
10,3.0,0.75,0.12,70.0,1.0,product,multi_mags,0.964252198925724,0.0187697019247011,0.0073878466947164,0.068836759916285,0.999772392301259,0.9853445666220256
10,3.0,0.75,0.12,80.0,1.0,product,multi_mags,0.8871689959333788,0.0634937956329394,0.0078940783177447,0.1487334123065105,0.9996971255395636,0.9628429742197308
10,3.0,0.75,0.12,90.0,1.0,product,multi_mags,0.97145605827987,0.0240720947519166,0.0085191812550264,0.070619932833199,0.9997391184615269,0.9893831600370494
10,3.0,0.75,0.12,100.0,1.0,product,multi_mags,0.965732277856362,0.0117074127263399,0.0090155809404456,0.1172512815391177,0.9997827722943172,0.9800541458524716
10,3.0,0.75,0.14,1.0,1.0,product,multi_mags,0.9428918704407304,0.0179474905816156,0.0121961270990846,0.1392334544363189,0.9794375561169024,0.9720366590087872
10,3.0,0.75,0.14,2.0,1.0,product,multi_mags,0.9257603356977469,0.0238706455470648,0.0153399166631266,0.1279579362146061,0.997415183011952,0.9740944223559784
10,3.0,0.75,0.14,3.0,1.0,product,multi_mags,0.8112212620604863,0.0761348993836118,0.0083870851854792,0.1672846968646669,0.998892690608949,0.9161056730278528
10,3.0,0.75,0.14,4.0,1.0,product,multi_mags,0.9085100443318436,0.0283813944006771,0.0150907446618531,0.0917664828063128,0.9986580889942382,0.9813383570857952
10,3.0,0.75,0.14,5.0,1.0,product,multi_mags,0.8228667294121766,0.0694720848249,0.015551095059152,0.14546270815324,0.996493844496412,0.9514662790938152
10,3.0,0.75,0.14,6.0,1.0,product,multi_mags,0.8461243176839648,0.055352713060297,0.0087529506335048,0.1912753938129862,0.9967164701973276,0.9522513432921462
10,3.0,0.75,0.14,7.0,1.0,product,multi_mags,0.908131103656578,0.0343677257966736,0.0074807581622909,0.118978970973655,0.9969116405121206,0.9715839600603842
10,3.0,0.75,0.14,8.0,1.0,product,multi_mags,0.6682990655068872,0.1109395260964915,0.008371693077866,0.2220570282683711,0.9858477604089722,0.9237719140181038
10,3.0,0.75,0.14,9.0,1.0,product,multi_mags,0.8427361916198871,0.0621380659770271,0.0123278841687109,0.1447043703770381,0.9975509927537328,0.9562245198680616
10,3.0,0.75,0.14,10.0,1.0,product,multi_mags,0.9121356028090244,0.0328353019038659,0.0121569842582938,0.1196232324428733,0.9950690150609806,0.9744052126618068
10,3.0,0.75,0.14,20.0,1.0,product,multi_mags,0.928701761436747,0.0228572971459764,0.0080224162417092,0.1272230362043304,0.9991234996905264,0.9756096698442692
